Font supports language ,did_Latn,  Didinga),
Font supports language ,dje_Latn,  Zarma),
Font supports language ,dno_Latn,  Ndrulo),
Font supports language ,doi_Deva,  Dogri),
Font supports language ,dop_Latn,  Lukpa),
Font supports language ,dri_Latn,  C’Lela),
Font supports language ,dsb_Latn,  Lower Sorbian),
Font supports language ,dtm_Latn,  Tomo Kan Dogon),
Font supports language ,dts_Latn,  Dogon, Toro So)
Font supports language ,dty_Deva,  Dotyali),
Font supports language ,dug_Latn,  Chiduruma),
Font supports language ,dwr_Latn,  Dawro),
Font supports language ,dyi_Latn,  Sénoufo, Djimini)
Font supports language ,dyo_Latn,  Jola-Fonyi),
Font supports language ,dyu_Latn,  Dyula),
Font supports language ,dzg_Latn,  Dazaga),
Font supports language ,ebu_Latn,  Embu),
Font supports language ,efi_Latn,  Efik),
Font supports language ,eka_Latn,  Ekajuk),
Font supports language ,ekm_Latn,  Elip),
Font supports language ,el_Grek,  Greek),
Font supports language ,en_Latn,  English),
Font supports language ,enn_Latn,  Engenni),
Font supports language ,eo_Latn,  Esperanto),
Font supports language ,es_Latn,  Spanish),
Font supports language ,et_Latn,  Estonian),
Font supports language ,eu_Latn,  Basque),
Font supports language ,eza_Latn,  Ezaa),
Font supports language ,fan_Latn,  Fang),
Font supports language ,fat_Latn,  Fanti),
Font supports language ,fbl_Latn,  West Albay Bikol),
Font supports language ,ff_Latn,  Fulah),
Font supports language ,ffm_Latn,  Maasina Fulfulde),
Font supports language ,fi_Latn,  Finnish),
Font supports language ,fil_Latn,  Filipino),
Font supports language ,fj_Latn,  Fijian),
Font supports language ,flr_Latn,  Fuliiru),
Font supports language ,fo_Latn,  Faroese),
Font supports language ,fod_Latn,  Foodo),
Font supports language ,fon_Latn,  Fon),
Font supports language ,fr_Latn,  French),
Font supports language ,fub_Latn,  Fulfulde, Adamawa)
Font supports language ,fuc_Latn,  Pulaar),
Font supports language ,fue_Latn,  Fulfulde, Borgu)
Font supports language ,fuf_Latn,  Pular),
Font supports language ,fuh_Latn,  Fulfulde, Western Niger)
Font supports language ,fuq_Latn,  Central-Eastern Niger Fulfulde),
Font supports language ,fur_Latn,  Friulian),
Font supports language ,fuv_Latn,  Nigerian Fulfulde),
Font supports language ,fy_Latn,  Western Frisian),
Font supports language ,ga_Latn,  Irish),
Font supports language ,gaa_Latn,  Ga),
Font supports language ,gag_Latn,  Gagauz),
Font supports language ,gah_Latn,  Alekano),
Font supports language ,gby_Latn,  Gbari),
Font supports language ,gd_Latn,  Scottish Gaelic),
Font supports language ,gde_Latn,  Gude),
Font supports language ,gel_Latn,  ut-Ma’in),
Font supports language ,gil_Latn,  Gilbertese),
Font supports language ,giz_Latn,  Southern Giziga),
Font supports language ,gjn_Latn,  Gonja),
Font supports language ,gkn_Latn,  Gokana),
Font supports language ,gl_Latn,  Galician),
Font supports language ,gmm_Latn,  Gbaya-Mbodomo),
Font supports language ,gmv_Latn,  Gamo),
Font supports language ,gn_Latn,  Guarani),
Font supports language ,gng_Latn,  Ngangam),
Font supports language ,god_Latn,  Godié),
Font supports language ,gof_Latn,  Gofa),
Font supports language ,gom_Deva,  Goan Konkani),
Font supports language ,gqr_Latn,  Gor),
Font supports language ,gsw_Latn,  Swiss German),
Font supports language ,guc_Latn,  Wayuu),
Font supports language ,gud_Latn,  Dida, Yocoboué)
Font supports language ,guk_Latn,  Gumuz),
