Font supports language ,utr_Latn,  Etulo),
Font supports language ,uz_Latn,  Uzbek),
Font supports language ,vag_Latn,  Vagla),
Font supports language ,ve_Latn,  Venda),
Font supports language ,vec_Latn,  Venetian),
Font supports language ,vep_Latn,  Veps),
Font supports language ,vi_Latn,  Vietnamese),
Font supports language ,vid_Latn,  Vidunda),
Font supports language ,vmw_Latn,  Makhuwa),
Font supports language ,vo_Latn,  Volapük),
Font supports language ,vro_Latn,  Võro),
Font supports language ,vun_Latn,  Vunjo),
Font supports language ,wa_Latn,  Walloon),
Font supports language ,wae_Latn,  Walser),
Font supports language ,wal_Latn,  Wolaytta  Latin)),
Font supports language ,wan_Latn,  Wan),
Font supports language ,war_Latn,  Waray),
Font supports language ,wbp_Latn,  Warlpiri),
Font supports language ,wci_Latn,  Gbe, Waci)
Font supports language ,wdt_Latn,  Wendat),
Font supports language ,wib_Latn,  Toussian, Southern)
Font supports language ,wja_Latn,  Waja),
Font supports language ,wji_Latn,  Warji),
Font supports language ,wls_Latn,  Wallisian),
Font supports language ,wmw_Latn,  Mwani),
Font supports language ,wo_Latn,  Wolof),
Font supports language ,wob_Latn,  Wè Northern),
Font supports language ,xav_Latn,  Xavánte),
Font supports language ,xed_Latn,  Hdi),
Font supports language ,xh_Latn,  Xhosa),
Font supports language ,xnr_Deva,  Kangri),
Font supports language ,xog_Latn,  Soga),
Font supports language ,xon_Latn,  Konkomba),
Font supports language ,xrb_Latn,  Karaboro, Eastern)
Font supports language ,xsm_Latn,  Kasem),
Font supports language ,xuo_Latn,  Kuo),
Font supports language ,xwe_Latn,  Gbe, Xwela)
Font supports language ,yal_Latn,  Yalunka),
Font supports language ,yam_Latn,  Yamba),
Font supports language ,yao_Latn,  Yao),
Font supports language ,yap_Latn,  Yapese),
Font supports language ,yas_Latn,  Nugunu),
Font supports language ,yat_Latn,  Yambeta),
Font supports language ,yay_Latn,  Agwagwune),
Font supports language ,yaz_Latn,  Lokaa),
Font supports language ,yer_Latn,  Tarok),
Font supports language ,yko_Latn,  Yasa),
Font supports language ,yo_Latn,  Yoruba),
Font supports language ,yre_Latn,  Yaouré),
Font supports language ,yua_Latn,  Yucateco),
Font supports language ,zag_Latn,  Zaghawa),
Font supports language ,zay_Latn,  Zayse),
Font supports language ,zdj_Latn,  Comorian, Ngazidja)
Font supports language ,ziw_Latn,  Zigula),
Font supports language ,zlm_Latn,  Malay  Latin)),
Font supports language ,zne_Latn,  Zande),
Font supports language ,zu_Latn,  Zulu),
Font supports language ,zun_Latn,  Zuni),
Font supports language ,zza_Latn,  Zaza),
`===========================,`===========,`=======================,`=================
Font nearly supports language ,alq_Latn,  Algonquin),
Font nearly supports language ,avu_Latn,  Avokaya),
Font nearly supports language ,bba_Latn,  Baatonum),
Font nearly supports language ,bqv_Latn,  Koro Wachi),
Font nearly supports language ,bud_Latn,  Ntcham),
Font nearly supports language ,bum_Latn,  Bulu),
Font nearly supports language ,din_Latn,  Dinka),
Font nearly supports language ,dip_Latn,  Dinka, Northeastern)
Font nearly supports language ,dua_Latn,  Duala),
Font nearly supports language ,dya_Latn,  Dyan),
Font nearly supports language ,ema_Latn,  Emai-Iuleha-Ora),
Font nearly supports language ,ems_Latn,  Alutiiq),
Font nearly supports language ,esu_Latn,  Central Yupik),
Font nearly supports language ,etx_Latn,  Iten),
Font nearly supports language ,gnd_Latn,  Zulgo-Gemzek),
Font nearly supports language ,gur_Latn,  Frafra),
Font nearly supports language ,ig_Latn,  Igbo),
Font nearly supports language ,ii_Yiii,  Sichuan Yi),
Font nearly supports language ,ijs_Latn,  Ijo, Southeast)
Font nearly supports language ,jra_Latn,  Jarai  Latin)),
Font nearly supports language ,kbo_Latn,  Keliko),
Font nearly supports language ,kcg_Latn,  Tyap),
Font nearly supports language ,kmg_Latn,  Kâte),
Font nearly supports language ,knb_Latn,  Lubuagan Kalinga),
Font nearly supports language ,ksp_Latn,  Kabba),
Font nearly supports language ,kzc_Latn,  Bondoukou Kulango),
Font nearly supports language ,loq_Latn,  Lobala),
Font nearly supports language ,lui_Latn,  Luiseno),
Font nearly supports language ,lzz_Latn,  Laz  Latin)),
Font nearly supports language ,mas_Latn,  Masai),
Font nearly supports language ,mdt_Latn,  Mbere),
Font nearly supports language ,mgd_Latn,  Moru),
Font nearly supports language ,mgo_Latn,  Metaʼ),
Font nearly supports language ,nuk_Latn,  Nuuchahnulth),
Font nearly supports language ,oma_Latn,  Omaha-Ponca),
Font nearly supports language ,ovd_Latn,  Elfdalian),
Font nearly supports language ,str_Latn,  Straits Salish, Latin)
Font nearly supports language ,tvu_Latn,  Tunen),
Font nearly supports language ,xsm_Latn_BF,  Kasem, Burkina Faso)
Font nearly supports language ,zap_Latn,  Zapotec),
`===========================,`===========,`=======================,`=================
Font does not fully support language ,ab_Cyrl,  Abkhazian),
Font does not fully support language ,abq_Cyrl,  Abaza),
Font does not fully support language ,acu_Latn,  Achuar-Shiwiar),
Font does not fully support language ,ady_Cyrl,  Adyghe),
Font does not fully support language ,agq_Latn,  Aghem),
Font does not fully support language ,aii_Cyrl,  Assyrian Neo-Aramaic, Cyrillic)
Font does not fully support language ,aii_Syrc,  Assyrian Neo-Aramaic),
Font does not fully support language ,aks_Latn,  Akeselem),
Font does not fully support language ,alt_Cyrl,  Southern Altai),
Font does not fully support language ,am_Ethi,  Amharic),
Font does not fully support language ,ar_Arab,  Arabic),
Font does not fully support language ,as_Beng,  Assamese),
Font does not fully support language ,av_Cyrl,  Avaric),
Font does not fully support language ,awc_Latn,  Cicipu),
Font does not fully support language ,az_Cyrl,  Azerbaijani  Cyrillic)),
Font does not fully support language ,ba_Cyrl,  Bashkir),
Font does not fully support language ,ban_Bali,  Balinese  Balinese)),
Font does not fully support language ,bas_Latn,  Basaa),
Font does not fully support language ,bax_Latn,  Bamun  Latin)),
Font does not fully support language ,bbc_Batk,  Batak Toba, Batak)
Font does not fully support language ,bbj_Latn,  Ghomala),
Font does not fully support language ,be_Cyrl,  Belarusian),
Font does not fully support language ,bfd_Latn,  Bafut),
Font does not fully support language ,bfo_Latn,  Malba Birifor),
Font does not fully support language ,bg_Cyrl,  Bulgarian),
Font does not fully support language ,biv_Latn,  Birifor, Southern)
Font does not fully support language ,bkm_Latn,  Kom),
Font does not fully support language ,blo_Latn,  Anii),
Font does not fully support language ,bn_Beng,  Bangla),
Font does not fully support language ,bo_Tibt,  Tibetan),
Font does not fully support language ,bom_Latn,  Berom),
Font does not fully support language ,bot_Latn,  Bongo),
Font does not fully support language ,box_Latn,  Buamu),
Font does not fully support language ,bpy_Beng,  Bishnupriya),
Font does not fully support language ,bqc_Latn,  Boko),
Font does not fully support language ,bqp_Latn,  Bisã),
Font does not fully support language ,bs_Cyrl,  Bosnian  Cyrillic)),
Font does not fully support language ,bsq_Latn,  Bassa  Latin)),
Font does not fully support language ,btt_Latn,  Bete-Bendi),
Font does not fully support language ,bua_Cyrl,  Buriat),
Font does not fully support language ,bvi_Latn,  Belanda Viri, Latin)
Font does not fully support language ,bwj_Latn,  Láá Láá Bwamu),
Font does not fully support language ,byv_Latn,  Medumba),
Font does not fully support language ,ccp_Cakm,  Chakma),
Font does not fully support language ,ce_Cyrl,  Chechen),
Font does not fully support language ,chm_Cyrl,  Mari),
Font does not fully support language ,chp_Latn,  Chipewyan),
Font does not fully support language ,chr_Cher,  Cherokee),
Font does not fully support language ,cjs_Cyrl,  Shor),
Font does not fully support language ,ckb_Arab,  Central Kurdish),
Font does not fully support language ,ckt_Cyrl,  Chukot),
Font does not fully support language ,coo_Latn,  Comox),
Font does not fully support language ,crh_Cyrl,  Crimean Turkish, Cyrillic)
Font does not fully support language ,cu_Cyrl,  Church Slavic),
Font does not fully support language ,cv_Cyrl,  Chuvash),
Font does not fully support language ,dar_Cyrl,  Dargwa),
Font does not fully support language ,ddn_Latn,  Dendi),
Font does not fully support language ,dgi_Latn,  Northern Dagara),
Font does not fully support language ,dgr_Latn,  Dogrib),
Font does not fully support language ,dng_Cyrl,  Dungan),
Font does not fully support language ,dnj_Latn,  Dan),
Font does not fully support language ,dnj_Latn_LR,  Liberian Dan),
Font does not fully support language ,dow_Latn,  Doyayo),
Font does not fully support language ,dur_Latn,  Dii),
Font does not fully support language ,dv_Thaa,  Divehi),
Font does not fully support language ,dz_Tibt,  Dzongkha),
Font does not fully support language ,ebo_Latn,  Teke-Ebo),
Font does not fully support language ,ee_Latn,  Ewe),
Font does not fully support language ,ekp_Latn,  Ekpeye),
Font does not fully support language ,emk_Latn,  Maninkakan, Eastern)
Font does not fully support language ,enf_Cyrl,  Forest Enets),
Font does not fully support language ,enh_Cyrl,  Tundra Enets),
Font does not fully support language ,eto_Latn,  Eton, Cameroon)
Font does not fully support language ,etu_Latn,  Ejagham),
Font does not fully support language ,evn_Cyrl,  Evenki),
Font does not fully support language ,ewo_Latn,  Ewondo),
Font does not fully support language ,fa_Arab,  Persian),
Font does not fully support language ,ff_Adlm,  Fulah  Adlam)),
Font does not fully support language ,fmp_Latn,  Fe’fe’),
Font does not fully support language ,Font supports language ,  Abua),
Font does not fully support language ,fvr_Latn,  Fur),
Font does not fully support language ,gag_Cyrl,  Gagauz  Cyrillic)),
Font does not fully support language ,gej_Latn,  Gen),
Font does not fully support language ,gkp_Latn,  Kpelle, Guinea)
Font does not fully support language ,gld_Cyrl,  Nanai),
Font does not fully support language ,gna_Latn,  Kaansa),
Font does not fully support language ,goa_Latn,  Guro),
Font does not fully support language ,gov_Latn,  Goo),
Font does not fully support language ,grb_Latn,  Grebo),
Font does not fully support language ,grc_Grek,  Ancient Greek  Greek)),
Font does not fully support language ,gu_Gujr,  Gujarati),
Font does not fully support language ,gvl_Latn,  Gulay),
Font does not fully support language ,haa_Latn,  Han),
Font does not fully support language ,he_Hebr,  Hebrew),
Font does not fully support language ,hei_Latn,  Heiltsuk),
Font does not fully support language ,hnn_Hano,  Hanunoo  Hanunoo)),
Font does not fully support language ,hur_Latn,  Halkomelem),
Font does not fully support language ,hy_Armn,  Armenian),
Font does not fully support language ,ife_Latn,  Ifè),
Font does not fully support language ,igb_Latn,  Ebira),
Font does not fully support language ,ikw_Latn,  Ikwere),
Font does not fully support language ,inh_Cyrl,  Ingush),
Font does not fully support language ,itl_Cyrl,  Itelmen),
Font does not fully support language ,ja_Hira,  Japanese  Hiragana)),
Font does not fully support language ,ja_Jpan,  Japanese),
Font does not fully support language ,jgo_Latn,  Ngomba),
Font does not fully support language ,jpr_Hebr,  Judeo-Persian),
Font does not fully support language ,jv_Java,  Javanese  Javanese)),
Font does not fully support language ,ka_Geor,  Georgian),
Font does not fully support language ,kaa_Cyrl,  Kara-Kalpak),
Font does not fully support language ,kbd_Cyrl,  Kabardian),
Font does not fully support language ,kca_Cyrl,  Khanty),
Font does not fully support language ,kdj_Latn,  Karamojong),
Font does not fully support language ,kib_Latn,  Koalib),
Font does not fully support language ,kjh_Cyrl,  Khakas),
Font does not fully support language ,kk_Cyrl,  Kazakh),
Font does not fully support language ,kkj_Latn,  Kako),
Font does not fully support language ,kkz_Latn,  Kaska),
Font does not fully support language ,km_Khmr,  Khmer),
Font does not fully support language ,kn_Knda,  Kannada),
Font does not fully support language ,ko_Kore,  Korean),
Font does not fully support language ,koi_Cyrl,  Komi-Permyak),
Font does not fully support language ,kpe_Latn,  Kpelle),
Font does not fully support language ,kpy_Cyrl,  Koryak),
Font does not fully support language ,krc_Cyrl,  Karachay-Balkar),
Font does not fully support language ,krw_Latn,  Western Krahn),
Font does not fully support language ,ks_Arab,  Kashmiri),
Font does not fully support language ,ksf_Latn,  Bafia),
Font does not fully support language ,kss_Latn,  Southern Kisi),
Font does not fully support language ,kst_Latn,  Winyé),
Font does not fully support language ,kum_Cyrl,  Kumyk),
Font does not fully support language ,kut_Latn,  Kutenai),
Font does not fully support language ,kv_Cyrl,  Komi),
Font does not fully support language ,kwk_Latn,  Kwak’wala),
Font does not fully support language ,ky_Cyrl,  Kyrgyz),
Font does not fully support language ,kyq_Latn,  Kenga),
Font does not fully support language ,kyu_Latn,  Western Kayah  Latin)),
Font does not fully support language ,kzr_Latn,  Karang),
Font does not fully support language ,lad_Hebr,  Ladino),
Font does not fully support language ,lbe_Cyrl,  Lak),
Font does not fully support language ,lee_Latn,  Lyélé),
Font does not fully support language ,lez_Cyrl,  Lezghian),
Font does not fully support language ,lgg_Latn,  Lugbara),
Font does not fully support language ,ln_Latn,  Lingala),
Font does not fully support language ,lnl_Latn,  South Central Banda),
Font does not fully support language ,lo_Laoo,  Lao),
Font does not fully support language ,lob_Latn,  Lobi),
Font does not fully support language ,lol_Latn,  Mongo),
Font does not fully support language ,lom_Latn,  Loma, Liberia)
Font does not fully support language ,lrc_Arab,  Northern Luri),
Font does not fully support language ,lu_Latn,  Luba-Katanga),
Font does not fully support language ,maz_Latn,  Central Mazahua),
Font does not fully support language ,mcp_Latn,  Makaa),
Font does not fully support language ,mdf_Cyrl,  Moksha),
Font does not fully support language ,mev_Latn,  Mano),
Font does not fully support language ,mge_Latn,  Mango),
Font does not fully support language ,mhi_Latn,  Ma’di),
Font does not fully support language ,mk_Cyrl,  Macedonian),
Font does not fully support language ,ml_Mlym,  Malayalam),
Font does not fully support language ,mn_Cyrl,  Mongolian),
Font does not fully support language ,mnf_Latn,  Mundani),
Font does not fully support language ,mni_Beng,  Manipuri),
Font does not fully support language ,mns_Cyrl,  Mansi),
Font does not fully support language ,mrj_Cyrl,  Western Mari),
Font does not fully support language ,mwm_Latn,  Sar),
Font does not fully support language ,my_Mymr,  Burmese),
Font does not fully support language ,myk_Latn,  Mamara Senoufo),
Font does not fully support language ,myv_Cyrl,  Erzya),
Font does not fully support language ,mzn_Arab,  Mazanderani),
Font does not fully support language ,neb_Latn,  Toura),
Font does not fully support language ,nfu_Latn,  Mfumte),
Font does not fully support language ,nga_Latn,  Ngbaka),
Font does not fully support language ,nmg_Latn,  Kwasio),
Font does not fully support language ,nnh_Latn,  Ngiemboon),
Font does not fully support language ,nnw_Latn,  Southern Nuni),
Font does not fully support language ,nog_Cyrl,  Nogai),
Font does not fully support language ,nst_Tnsa,  Tangsa),
Font does not fully support language ,ntm_Latn,  Nateni),
Font does not fully support language ,nus_Latn,  Nuer),
Font does not fully support language ,nv_Latn,  Navajo),
Font does not fully support language ,nyb_Latn,  Nyangbo),
Font does not fully support language ,nzk_Latn,  Nzakara),
Font does not fully support language ,or_Orya,  Odia),
Font does not fully support language ,os_Cyrl,  Ossetic),
Font does not fully support language ,ozm_Latn,  Koonzime),
Font does not fully support language ,pa_Arab,  Punjabi  Arabic)),
Font does not fully support language ,pa_Guru,  Punjabi),
Font does not fully support language ,pid_Latn,  Piaroa),
Font does not fully support language ,pnz_Latn,  Pana, Central African Republic)
Font does not fully support language ,ps_Arab,  Pashto),
Font does not fully support language ,pug_Latn,  Phuie),
Font does not fully support language ,rkt_Beng,  Rangpuri),
Font does not fully support language ,ro_Cyrl,  Romanian  Cyrillic)),
Font does not fully support language ,ru_Cyrl,  Russian),
Font does not fully support language ,rue_Cyrl,  Rusyn),
Font does not fully support language ,sa_Nand,  Sanskrit  Nandinagari)),
Font does not fully support language ,sah_Cyrl,  Sakha),
Font does not fully support language ,sat_Olck,  Santali, Ol Chiki)
Font does not fully support language ,sba_Latn,  Ngambay),
Font does not fully support language ,sbd_Latn,  Southern Samo),
Font does not fully support language ,sd_Arab,  Sindhi),
Font does not fully support language ,sel_Cyrl,  Selkup),
Font does not fully support language ,shi_Tfng,  Tachelhit  Tifinagh)),
Font does not fully support language ,si_Sinh,  Sinhala),
Font does not fully support language ,sld_Latn,  Sissala),
Font does not fully support language ,soy_Latn,  Miyobe),
Font does not fully support language ,sr_Cyrl,  Serbian),
Font does not fully support language ,su_Sund,  Sundanese  Sundanese)),
Font does not fully support language ,tab_Cyrl,  Tabassaran),
Font does not fully support language ,taj_Tibt,  Eastern Tamang, Tibetan)
Font does not fully support language ,tbz_Latn,  Ditammari),
Font does not fully support language ,tcd_Latn,  Tafi),
Font does not fully support language ,tce_Latn,  Southern Tutchone),
Font does not fully support language ,te_Telu,  Telugu),
Font does not fully support language ,tg_Cyrl,  Tajik),
Font does not fully support language ,th_Thai,  Thai),
Font does not fully support language ,thp_Latn,  Thompson),
Font does not fully support language ,ti_Ethi,  Tigrinya),
Font does not fully support language ,tik_Latn,  Tikar),
Font does not fully support language ,tk_Cyrl,  Turkmen  Cyrillic)),
Font does not fully support language ,tkr_Cyrl,  Tsakhur),
Font does not fully support language ,tly_Cyrl,  Talysh  Cyrillic)),
Font does not fully support language ,tt_Cyrl,  Tatar),
Font does not fully support language ,ttm_Latn,  Northern Tutchone),
Font does not fully support language ,ttt_Cyrl,  Muslim Tat),
Font does not fully support language ,tuz_Latn,  Turka),
Font does not fully support language ,txo_Toto,  Toto),
Font does not fully support language ,tyv_Cyrl,  Tuvinian),
Font does not fully support language ,udm_Cyrl,  Udmurt),
Font does not fully support language ,ug_Arab,  Uyghur),
Font does not fully support language ,ug_Cyrl,  Uyghur  Cyrillic)),
Font does not fully support language ,uk_Cyrl,  Ukrainian),
Font does not fully support language ,uma_Latn,  Umatilla),
Font does not fully support language ,ur_Arab,  Urdu),
Font does not fully support language ,uz_Arab,  Uzbek  Arabic)),
Font does not fully support language ,uz_Cyrl,  Uzbek  Cyrillic)),
Font does not fully support language ,vai_Latn,  Vai  Latin)),
Font does not fully support language ,vai_Vaii,  Vai),
Font does not fully support language ,vut_Latn,  Vute),
Font does not fully support language ,wok_Latn,  Longto),
Font does not fully support language ,wwa_Latn,  Waama),
Font does not fully support language ,xal_Cyrl,  Kalmyk),
Font does not fully support language ,yav_Latn,  Yangben),
Font does not fully support language ,yba_Latn,  Yala),
Font does not fully support language ,ybb_Latn,  Yemba),
Font does not fully support language ,yi_Hebr,  Yiddish),
Font does not fully support language ,yo_Latn_BJ,  Yoruba, Benin)
Font does not fully support language ,yrk_Cyrl,  Nenets),
Font does not fully support language ,yue_Hans,  Yue Chinese  Simplified)),
Font does not fully support language ,yue_Hant,  Yue Chinese),
Font does not fully support language ,zgh_Tfng,  Standard Moroccan Tamazight),
Font does not fully support language ,zh_Hans,  Chinese  Simplified)),
Font does not fully support language ,zh_Hant,  Chinese  Traditional)),
